Group / Community,Region / Base,Description/Extra Info,Contact / Info (Website / Social / Email),Typical Meet Frequency / Notes,Age Limit (Minimum),18+ Only / Notes,Status / Comments,Socials,Community Size
LeedsFurs,Leeds / West Yorkshire,N/A,https://leedsfurs.co.uk/,Main meet: 3rd Saturday monthly; Coffee meet: 1st Tuesday monthly. Fursuit-friendly venue with changing/storage.,16+,Unknown,Active,,Large
IronFurs,Belfast / Northern Ireland,N/A,https://www.ironfurs.co.uk/ (email: ironfursni@gmail.com),"Monthly Saturday meets; casual meets, museum/convention trips; 16+",16+,Unknown (some events may be 18+),Active,,Medium
Birmingham FurS,Birmingham / West Midlands,N/A,https://www.birminghamfurs.uk/,"Monthly meets: Pre-meet 11–12, Main meet 12–18, Fursuit walk ~15:00",16+,Unknown,Active / Stable,,Large
Wolverhampton & Black Country Furs,West Midlands / West Midlands,N/A,https://wolverhamptonfurs.com/ (Telegram),"Informal / planned meets depending on member interest (cafés, parks, community venues)",18+,Unknown,Chat-based / Organising,,Medium
LondonFurs,London / Greater London,N/A,https://londonfurs.org.uk/,"Regular meets; also large ticketed events (Winter Weekender, boat party)",16+,Yes — special events 18+,Active / Stable,,Very Large
CambridgeFurs,Cambridgeshire / Cambridge area,N/A,https://cambfurs.co.uk/,Online meets (Discord) + occasional local meets,16+,Unknown,Active / Stable,,Medium
ExeterFurs,Exeter / Devon,N/A,https://exeterfurs.org.uk/,Monthly meets + larger events / parties,Unknown,Unknown,Chat-based / Possibly Active,,Medium
PortsmouthFurs,Portsmouth / South Coast,N/A,https://portsmouthfurs.uk,Monthly meets / picnic & social events,Unknown,Unknown,Chat-based / Possibly Active,,Medium
Cornwall Furs,Cornwall / Southwest,N/A,Telegram: @CornwallFurs / @CornwallFursAnnouncements,"Irregular social meets (picnics, city-walks, local events)",Unknown,Unknown,Chat-based / Possibly Active,,Medium
Somerset-area subgroups,Somerset & nearby,N/A,Telegram chats,Informal / occasional meets,Unknown,Unknown,Chat-based / Informal,,N/A
SussexFurs,Sussex / South Coast,N/A,https://www.sussexfurs.co.uk/,"Occasional larger meets / events (parties, summer meet-ups)",Unknown,Unknown,Event-only / Active,,Medium
BarkadeFurs,UK-wide / London-centred (?),N/A,https://barkadefurs.com/,Occasional large events / “furry-themed arcade/party”,18+,in arcade18+,Event-only / Active,,Medium
MancFurs,Greater Manchester/North West,N/A,https://www.mancfurs.org.uk/,Second Weekend of every month,18+,N/A,Active,,Large
YorkFur,Yorkshire/North East,N/A,https://yorkshirefurs.org.uk/,Once a year event,19+,18+ Need ID,Event-Only / Active,,Medium
FurTheMoment,Cardiff/South Wales,"FurTheMoment is a group of like-minded individuals brought together by a shared passion for the furry fandom. Originally founded by Toronto, our mission is to create fun, inclusive, and engaging events for fellow furs to enjoy.
 
Since our early days, we’ve hosted events on the first Sunday of each month at a variety of venues, always striving to provide a welcoming and safe space for self-expression. Beyond our in-person meets, we also keep the community connected online via Telegram and Discord—so come join the conversation and be part of the fun!",https://www.furthemoment.com/,"First weekend of every month, sunday","No Age Limit, children present","No Age Limit, children present",Active,,Very Large
Bristol Furs,Bristol/South West,,https://bristolfurs.co.uk/,"First weekend of every month, saturday",18+,N/A,Active,,Medium
AberFurs (CYM),Aberystwyth/Central Wales,N/A,N/A,N/A,N/A,N/A,N/A,,Unknown
Berkshire Furs,Reading/ South Central,N/A,https://www.berkshirefurs.org.uk/,Last Sundayof the month generally,18+,"Ticketed Event, ID needed, 18+",Active,,Medium
Doncaster Furs,Doncaster/Central East,N/A,https://www.doncasterfurs.co.uk/,Days Vary - see website,18+,N/A,Active,,Medium
East Sussex Furs,Brighton/South East,N/A,https://www.sussexfurs.co.uk/,Days vary- see website,Not 18+,N/A,Active,,Small
HantsFurs,Southhampton/South Central,"The HantsFurs is the name given to a regional furry group centred around the county of Hampshire, UK formed in 2000. The majority of HantsFurs members reside in two of the major cities in the area, Southampton or Portsmouth, however the number of members in other large towns such as Basingstoke are growing.[1] The HantsFurs do not have an official schedule for furmeets due to the area covered, however meets do occur semi-regularly in both Southampton, Farnborough and Basingstoke organised via the UKFur Forums[2]

The group was officially founded by SlyCat in March 2000 by creating the mailing list due to the increasing number of furs in the area. The list was used to create a community for the area to chat and organise meets. At its peak, it had over 120 subscribed members however the popularity of the list declined since the UKFur Forums included sub-forums for localised groups and as such, the list was deleted from Yahoo Groups as of 16th October 2012.

HantsFur meets are now exclusively organised via the UKFur Forums by whoever wants to suggest a time and place to meet up. Furmeets vary in size from approximately 5 people to over 30 in some instances.

In addition to the UKfur Forum Subsection, the HantsFurs have a website maintained by SlyCat as well as a Twitter account @HantsFurs which is currently owned by Vanillaaa on the UKFur Forums[3] ",N/A,N/A,N/A,N/A,N/A,,Small
KentFurs,Kent/ South East,N/A,N/A,N/A,N/A,N/A,Active,https://x.com/KentFurs,Small
Coventry Furs,Coventry/ East midlands,N/A,https://covfurs.co.uk/,Days Vary - See website,Not Specified,,Active,,Medium
PlymouthFurs,Plymouth/ South Central,N/A,N/A,,,,Active,https://x.com/PlymouthFurs,Medium
Glasgow Furs,Glascow/West Scotland,N/A,https://glasgowfurs.scot/,Days vary - see website,,,,,Medium
